iter	Logloss
0	0.6819873172
1	0.6714699695
2	0.6617369002
3	0.6523418151
4	0.6433300005
5	0.6348680438
6	0.6267751902
7	0.6188976837
8	0.6117254709
9	0.6047033143
10	0.5981558809
11	0.5917058485
12	0.5852334963
13	0.5792979506
14	0.5736551404
15	0.5683857125
16	0.5634760562
17	0.5587414733
18	0.5540977237
19	0.549520966
20	0.544804633
21	0.5404466366
22	0.5364192932
23	0.5323667667
24	0.528561131
25	0.524609667
26	0.5207849184
27	0.5173579733
28	0.5139849021
29	0.5108918031
30	0.5075917545
31	0.5045495077
32	0.5017218019
33	0.4983622704
34	0.4957701732
35	0.4930312487
36	0.4904168974
37	0.4880598169
38	0.4868183014
39	0.4841806144
40	0.4819716086
41	0.4800154401
42	0.4780463913
43	0.4761042543
44	0.4741414697
45	0.4723349119
46	0.4704088234
47	0.468285042
48	0.4663535119
49	0.4644455892
50	0.4623754466
51	0.4603519616
52	0.4586464233
53	0.4567744098
54	0.4551315596
55	0.4532699825
56	0.4516194748
57	0.4503394326
58	0.4487233985
59	0.4471899214
60	0.4458817091
61	0.4442789836
62	0.4429025213
63	0.4415635585
64	0.4405260155
65	0.4391288923
66	0.4379919938
67	0.4364675483
68	0.4348990816
69	0.4336745955
70	0.431904048
71	0.4311690786
72	0.4298756525
73	0.4287737954
74	0.4274481247
75	0.4262918794
76	0.4245008728
77	0.4230574274
78	0.4218425153
79	0.4209237646
80	0.419657322
81	0.4185358825
82	0.4171965531
83	0.4160503948
84	0.4147646913
85	0.4135269008
86	0.412478378
87	0.4111644865
88	0.4100485234
89	0.4089016679
90	0.407676673
91	0.4068585248
92	0.4060347306
93	0.4049108972
94	0.4042445489
95	0.4034379332
96	0.4025619809
97	0.4015243382
98	0.4007477365
99	0.3998358531
100	0.3986732387
101	0.397933147
102	0.3971831709
103	0.396603984
104	0.3958969007
105	0.395084723
106	0.394040678
107	0.3932217192
108	0.3923934901
109	0.3915171155
110	0.390577886
111	0.3896921659
112	0.3889403844
113	0.3878680401
114	0.3872286466
115	0.3863692606
116	0.3854578047
117	0.3853573396
118	0.3847655875
119	0.3841996146
120	0.3830317385
121	0.3819989576
122	0.3814503492
123	0.3809205361
124	0.3802425901
125	0.3795473714
126	0.3786302093
127	0.3779849928
128	0.3773039838
129	0.3765313719
130	0.3758762343
131	0.3750109596
132	0.3742336182
133	0.3731050108
134	0.3723144628
135	0.3710421001
136	0.3705393393
137	0.3697999063
138	0.3688634538
139	0.3681071753
140	0.367040151
141	0.3662002639
142	0.3658606267
143	0.365252005
144	0.3644512419
145	0.3639752246
146	0.3628073657
147	0.3620022201
148	0.3611473371
149	0.3598631764
150	0.3591580286
151	0.3587704553
152	0.3579434796
153	0.3573785791
154	0.3565787557
155	0.3557023773
156	0.3549815369
157	0.3539400666
158	0.3536430529
159	0.352620777
160	0.3521384521
161	0.3510245322
162	0.3499680281
163	0.3494642437
164	0.3480375888
165	0.3468394962
166	0.3456031985
167	0.3447298055
168	0.344153466
169	0.3428529948
170	0.3419195709
171	0.3408775157
172	0.3398664372
173	0.3394246176
174	0.3389700655
175	0.3373058251
176	0.3365979623
177	0.3354278897
178	0.3351706651
179	0.3346872925
