iter	Logloss
0	0.6821684694
1	0.6717325955
2	0.6624571841
3	0.6527454551
4	0.6434775344
5	0.6349776388
6	0.6270496221
7	0.61929
8	0.6121692216
9	0.6053471792
10	0.5987696384
11	0.5922142908
12	0.5861903224
13	0.58033715
14	0.5748612915
15	0.5697649587
16	0.564448782
17	0.5593781135
18	0.5545902512
19	0.5501180872
20	0.5457872929
21	0.542427937
22	0.538491803
23	0.5345455915
24	0.530429623
25	0.5267817848
26	0.5232420422
27	0.5200456724
28	0.5162651411
29	0.5129098138
30	0.5097017151
31	0.5065773256
32	0.5034308775
33	0.5008535143
34	0.4979419052
35	0.4946654105
36	0.4922232655
37	0.490506936
38	0.4889703098
39	0.4864482782
40	0.4842754035
41	0.4815617894
42	0.4795201911
43	0.477161146
44	0.4749194994
45	0.4728280544
46	0.4705302252
47	0.4684142838
48	0.4665793051
49	0.464584239
50	0.4626205005
51	0.4613118704
52	0.4592432196
53	0.4571836292
54	0.4553844652
55	0.4538800357
56	0.4521600033
57	0.4506825252
58	0.4490546262
59	0.4475081404
60	0.4460069521
61	0.4445824697
62	0.4439277404
63	0.4426884354
64	0.4414199333
65	0.4401764454
66	0.4391074182
67	0.4377574582
68	0.4363913015
69	0.4350364316
70	0.4336378293
71	0.432787278
72	0.4318358503
73	0.430760005
74	0.4295319665
75	0.4284658142
76	0.4274880345
77	0.4261463756
78	0.4246554776
79	0.4233503119
80	0.4221475669
81	0.4209680165
82	0.4194657026
83	0.4183722994
84	0.4173832368
85	0.4157979218
86	0.4150022032
87	0.4136087493
88	0.4126749677
89	0.411835857
90	0.411068665
91	0.4099646752
92	0.409141407
93	0.4083368276
94	0.4073126152
95	0.4064920199
96	0.405303349
97	0.4042029808
98	0.4029442854
99	0.4020142105
100	0.4011207465
101	0.3996405747
102	0.3984679101
103	0.3980296117
104	0.3970539485
105	0.3960136469
106	0.3955590543
107	0.3941568045
108	0.3933911453
109	0.3924955071
110	0.3917352421
111	0.3909292922
112	0.3897011046
113	0.3887880858
114	0.387978884
115	0.3864083292
116	0.3858774591
117	0.3848638286
118	0.3836926059
119	0.3830694694
120	0.3824418679
121	0.3820654599
122	0.3814623495
123	0.3797669342
124	0.3789147413
125	0.3782889254
126	0.3777913696
127	0.3770315972
128	0.3762528343
129	0.3751913868
130	0.3742427014
131	0.3735849531
132	0.3728261971
133	0.3717180481
134	0.3705299637
135	0.3696169997
136	0.3689955736
137	0.3680614632
138	0.3675451687
139	0.3668527233
140	0.365873961
141	0.3649399291
142	0.3635965303
143	0.362602513
144	0.3617593168
145	0.360453323
146	0.3591530739
147	0.3583154818
148	0.3582449737
149	0.357344567
150	0.3563816767
151	0.3558022415
152	0.3549368467
153	0.3542864253
154	0.3538375413
155	0.3530725503
156	0.352433925
157	0.351874979
158	0.3503525131
159	0.3494064811
160	0.3490452177
161	0.3480685163
162	0.3468846611
163	0.3459036684
164	0.3455393471
165	0.3452261359
166	0.3442682355
167	0.3434880577
168	0.3428508589
169	0.3420646738
170	0.340760845
171	0.3403935806
172	0.3396628605
173	0.3388939793
174	0.3383961056
175	0.337755981
176	0.3371032736
177	0.3367174398
178	0.3358303492
179	0.3345905056
